Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
676848,Mrs.,Reba,A,Prevatte,F,reba.prevatte@yahoo.com,Ariel Prevatte,Faye Prevatte,Blackmore,2/13/1982,06:12:18 AM,38.58,50,1/22/2010,Q1,H1,2010,1,January,Jan,22,Friday,Fri,10.62,184030,12%,568-99-3956,210-427-0777,Amarillo,Potter,Amarillo,TX,79170,South,raprevatte,O.8*|9K#_8vmxi-
245261,Ms.,Mittie,L,Wheless,F,mittie.wheless@hotmail.com,Tony Wheless,Valda Wheless,Gent,1/26/1963,07:59:34 PM,57.64,54,8/29/2016,Q3,H2,2016,8,August,Aug,29,Monday,Mon,4.01,107555,19%,165-86-0356,225-926-2224,Archibald,Richland,Archibald,LA,71218,South,mlwheless,u00y2l.&b&{j;.
607893,Prof.,Dane,H,Mastropietro,M,dane.mastropietro@gmail.com,Carlos Mastropietro,Aiko Mastropietro,Hutchcraft,9/27/1984,04:33:14 PM,35.95,82,8/11/2016,Q3,H2,2016,8,August,Aug,11,Thursday,Thu,4.06,129196,26%,564-99-3704,215-516-2375,Elliottsburg,Perry,Elliottsburg,PA,17024,Northeast,dhmastropietro,BW+3yKR9]S/L#
705272,Mrs.,Bernita,P,Power,F,bernita.power@yahoo.com,Brant Power,Chelsey Power,Laurie,5/14/1988,10:37:30 AM,32.32,53,3/20/2012,Q1,H1,2012,3,March,Mar,20,Tuesday,Tue,8.46,77623,16%,509-33-0537,252-867-2665,Thomasville,Davidson,Thomasville,NC,27360,South,bppower,nyU;GBmm
801753,Mr.,Patrick,R,Hanselman,M,patrick.hanselman@shell.com,Levi Hanselman,Elayne Hanselman,Duenas,10/24/1993,06:02:06 AM,26.87,57,9/1/2016,Q3,H2,2016,9,September,Sep,1,Thursday,Thu,4,102294,26%,357-08-7345,316-462-1924,Arma,Crawford,Arma,KS,66712,Midwest,prhanselman,e|U[*SAZ0r
846457,Mr.,Edmundo,F,Benny,M,edmundo.benny@hotmail.com,Tyrell Benny,Hollie Benny,Jiminez,5/11/1973,08:18:35 AM,47.34,67,8/7/2007,Q3,H2,2007,8,August,Aug,7,Tuesday,Tue,13.08,48426,20%,419-67-1460,208-385-7778,Horseshoe Bend,Boise,Horseshoe Bend,ID,83629,West,efbenny,RKU]Q4zOFJtDa~?
543239,Mr.,Marcus,G,Alejos,M,marcus.alejos@gmail.com,Bud Alejos,Carey Alejos,Steinhoff,3/6/1963,10:41:39 AM,57.53,87,4/22/1985,Q2,H1,1985,4,April,Apr,22,Monday,Mon,35.39,139590,23%,548-99-9002,319-345-0562,Estherville,Emmet,Estherville,IA,51334,Midwest,mgalejos,3}C+|xz+W}^f20
349106,Hon.,Laquita,C,Martini,F,laquita.martini@yahoo.ca,Gene Martini,Larita Martini,Johanson,3/15/1975,12:09:17 PM,45.5,47,7/7/1997,Q3,H2,1997,7,July,Jul,7,Monday,Mon,23.17,107419,1%,613-87-6472,314-922-9716,Eunice,Texas,Eunice,MO,65468,Midwest,lcmartini,0rB7~hc6<:M*7~Q
187309,Mr.,Clarence,B,Gehrke,M,clarence.gehrke@gmail.com,Marion Gehrke,Rosalee Gehrke,Saragosa,6/7/1983,02:56:35 PM,37.26,72,10/6/2007,Q4,H2,2007,10,October,Oct,6,Saturday,Sat,12.92,189976,30%,649-56-5032,319-934-2707,Evansdale,Black Hawk,Evansdale,IA,50707,Midwest,cbgehrke,zi+}UIxIu*
849728,Ms.,Nga,N,Dorsett,F,nga.dorsett@rediffmail.com,Carter Dorsett,Sade Dorsett,Fairweather,9/5/1995,12:47:43 AM,25.01,48,12/28/2018,Q4,H2,2018,12,December,Dec,28,Friday,Fri,1.68,94172,15%,289-15-9044,209-335-6416,San Pedro,Los Angeles,San Pedro,CA,90733,West,nndorsett,z3MRlAB1^\815Yx
942495,Mrs.,Drusilla,C,Rudisill,F,drusilla.rudisill@aol.com,Ronny Rudisill,Nila Rudisill,Sayre,7/15/1997,02:12:10 AM,23.15,50,9/11/2019,Q3,H2,2019,9,September,Sep,11,Wednesday,Wed,0.98,75987,23%,004-13-2935,210-736-1061,Richmond,Fort Bend,Richmond,TX,77407,South,dcrudisill,I2v]8T[IzPd^.Q
813012,Ms.,Kum,P,Sebastian,F,kum.sebastian@gmail.com,Malik Sebastian,Rebbecca Sebastian,Scholz,12/24/1993,09:51:51 AM,26.71,51,3/5/2015,Q1,H1,2015,3,March,Mar,5,Thursday,Thu,5.5,117328,22%,099-02-2933,236-446-6591,Chesapeake,Chesapeake (city),Chesapeake,VA,23327,South,kpsebastian,YuXNgZC/YB4
255011,Mrs.,Loren,B,Cortese,F,loren.cortese@gmail.com,Brady Cortese,Xuan Cortese,Brooks,11/8/1993,02:28:04 PM,26.83,48,5/5/2016,Q2,H1,2016,5,May,May,5,Thursday,Thu,4.33,102943,3%,587-99-2762,304-548-1604,Hiawatha,Mercer,Hiawatha,WV,24729,South,lbcortese,m_>Y>!7R>4si8
935035,Mr.,Jon,J,Pyatt,M,jon.pyatt@hotmail.com,Bill Pyatt,Sook Pyatt,Morfin,3/12/1987,12:55:09 AM,33.5,62,9/3/2019,Q3,H2,2019,9,September,Sep,3,Tuesday,Tue,1,87183,25%,259-99-4833,239-789-4740,Longwood,Seminole,Longwood,FL,32779,South,jjpyatt,sA~X9H{SHfj
932454,Ms.,Paige,D,Salomon,F,paige.salomon@walmart.com,Shelby Salomon,Brigitte Salomon,Tibbits,2/5/1975,01:18:43 AM,45.6,59,1/25/2007,Q1,H1,2007,1,January,Jan,25,Thursday,Thu,13.61,141211,6%,370-37-1016,503-305-8598,Juntura,Malheur,Juntura,OR,97911,West,pdsalomon,7bTjQYWhV7!JHfl
327729,Mr.,Vincent,W,Houtz,M,vincent.houtz@gmail.com,Hai Houtz,Rose Houtz,Morrissette,8/20/1965,12:46:15 AM,55.07,66,6/7/2013,Q2,H1,2013,6,June,Jun,7,Friday,Fri,7.24,148884,19%,524-99-9534,216-263-6139,Cincinnati,Hamilton,Cincinnati,OH,45216,Midwest,vwhoutz,H!hJU0e/.Z8J16
812639,Mr.,Christopher,Z,Sikes,M,christopher.sikes@aol.com,Emanuel Sikes,Faith Sikes,Schmucker,12/30/1975,03:13:43 PM,44.7,87,10/18/2014,Q4,H2,2014,10,October,Oct,18,Saturday,Sat,5.88,166598,28%,685-24-7063,209-633-9589,Clements,San Joaquin,Clements,CA,95227,West,czsikes,ZtK8L}5O;@
401258,Mr.,Jerome,K,Hoffmann,M,jerome.hoffmann@hotmail.co.uk,Rusty Hoffmann,Noreen Hoffmann,Palazzolo,11/17/1973,02:20:42 AM,46.82,51,6/3/1995,Q2,H1,1995,6,June,Jun,3,Saturday,Sat,25.27,101260,28%,530-99-7579,303-582-1851,Colorado Springs,El Paso,Colorado Springs,CO,80912,West,jkhoffmann,Y@xCW;S2]V9
227577,Mr.,Lester,U,Ketcham,M,lester.ketcham@hotmail.com,Gary Ketcham,Vernita Ketcham,Confer,10/3/1973,07:37:43 PM,46.95,51,12/18/2000,Q4,H2,2000,12,December,Dec,18,Monday,Mon,19.72,163865,10%,315-35-2038,239-796-0403,Eustis,Lake,Eustis,FL,32736,South,luketcham,k#s.uf@85_
694310,Mr.,Laverne,B,Saunders,M,laverne.saunders@yahoo.co.in,Duane Saunders,Misha Saunders,Marriott,8/9/1967,09:39:27 PM,53.1,72,9/18/2015,Q3,H2,2015,9,September,Sep,18,Friday,Fri,4.96,86275,1%,521-99-5420,236-823-3714,Millboro,Bath,Millboro,VA,24460,South,lbsaunders,eIL!H#>Y;
734812,Hon.,Wilton,J,Alaimo,M,wilton.alaimo@yahoo.com,Kurt Alaimo,Karey Alaimo,Garrick,3/16/1964,07:17:11 AM,56.5,65,7/6/2004,Q3,H2,2004,7,July,Jul,6,Tuesday,Tue,16.17,58369,12%,597-92-0246,201-246-0144,Camden,Camden,Camden,NJ,8104,Northeast,wjalaimo,a]9^Io#A/D^
457870,Mrs.,Leila,R,Wooding,F,leila.wooding@charter.net,Rafael Wooding,Santana Wooding,Brown,1/25/1992,11:42:00 AM,28.62,56,7/15/2017,Q3,H2,2017,7,July,Jul,15,Saturday,Sat,3.13,74106,18%,214-91-8071,228-676-9350,Walnut,Tippah,Walnut,MS,38683,South,lrwooding,JVC^4MU$
810560,Drs.,Corrie,C,Wehner,F,corrie.wehner@yahoo.com,Basil Wehner,Janelle Wehner,Luckey,9/14/1969,07:27:48 AM,51,55,5/30/1998,Q2,H1,1998,5,May,May,30,Saturday,Sat,22.27,60832,7%,278-17-3076,423-775-6199,Riddleton,Smith,Riddleton,TN,37151,South,ccwehner,X[^xomj8\#7u90
464677,Mrs.,Emelina,X,Rana,F,emelina.rana@shell.com,Earnest Rana,Kum Rana,Sonnenberg,6/28/1980,03:58:13 PM,40.21,54,5/20/2005,Q2,H1,2005,5,May,May,20,Friday,Fri,15.3,188847,26%,278-17-4269,406-498-7164,Alberton,Mineral,Alberton,MT,59820,West,exrana,hV.8&{9Fm|5+Aj0
643548,Dr.,Jermaine,W,Lawson,M,jermaine.lawson@gmail.com,Marlin Lawson,Britney Lawson,Repp,11/1/1978,04:00:22 PM,41.86,65,9/11/2011,Q3,H2,2011,9,September,Sep,11,Sunday,Sun,8.98,90223,21%,610-87-5401,304-965-9239,Sweet Springs,Sweet Springs,Sweet Springs,WV,24980,South,jwlawson,ro9Qi~FHj\a
627714,Mr.,Danny,Q,Lindquist,M,danny.lindquist@outlook.com,Sid Lindquist,Pamula Lindquist,Minner,12/31/1990,02:56:04 PM,29.69,86,3/26/2012,Q1,H1,2012,3,March,Mar,26,Monday,Mon,8.44,119834,28%,411-99-4126,240-657-1341,Baltimore,Baltimore (city),Baltimore,MD,21281,South,dqlindquist,MCLK75nA
835101,Drs.,Chin,E,Rumble,F,chin.rumble@gmail.com,Tod Rumble,Sheridan Rumble,Greggs,11/4/1973,02:02:41 PM,46.86,45,12/19/1998,Q4,H2,1998,12,December,Dec,19,Saturday,Sat,21.72,179782,28%,212-91-4487,505-836-8214,Gladstone,Union,Gladstone,NM,88422,West,cerumble,joagU]3sA
788839,Mr.,Claudio,E,Tope,M,claudio.tope@gmail.com,Ned Tope,Bobbie Tope,Seng,7/7/1985,10:12:14 PM,35.18,89,12/11/2017,Q4,H2,2017,12,December,Dec,11,Monday,Mon,2.73,63602,3%,073-02-9287,209-588-6844,Forestville,Sonoma,Forestville,CA,95436,West,cetope,B^zTMgILD#
477702,Ms.,Ji,S,Traynor,F,ji.traynor@apple.com,Micah Traynor,Chantell Traynor,Seager,10/3/1967,02:58:27 AM,52.95,56,7/25/1999,Q3,H2,1999,7,July,Jul,25,Sunday,Sun,21.12,131153,13%,145-23-1401,239-696-5355,Sarasota,Sarasota,Sarasota,FL,34235,South,jstraynor,L7CvZp#WyKxI
705330,Ms.,Alona,F,Hillard,F,alona.hillard@sbcglobal.net,Normand Hillard,Daniel Hillard,Corvin,4/1/1969,03:35:56 AM,51.45,41,3/12/2019,Q1,H1,2019,3,March,Mar,12,Tuesday,Tue,1.48,81461,17%,377-37-5591,308-237-4422,Rulo,Richardson,Rulo,NE,68431,Midwest,afhillard,Tdw;ARYb1Atrd
306464,Mr.,Johnny,K,Everts,M,johnny.everts@aol.com,Franklin Everts,Cordelia Everts,Maldonado,5/1/1973,09:09:25 AM,47.37,53,10/25/2005,Q4,H2,2005,10,October,Oct,25,Tuesday,Tue,14.86,81658,21%,312-35-4910,505-295-1175,Rogers,Roosevelt,Rogers,NM,88132,West,jkeverts,o%&r_L+RaQ
817676,Mrs.,Ignacia,V,Norden,F,ignacia.norden@bellsouth.net,Everette Norden,Tyisha Norden,Mccarron,12/27/1983,05:27:29 AM,36.71,51,11/10/2005,Q4,H2,2005,11,November,Nov,10,Thursday,Thu,14.82,77699,26%,247-99-8216,210-716-5604,Corpus Christi,Nueces,Corpus Christi,TX,78472,South,ivnorden,5xuCxt7A7pPrDNq
840194,Mr.,Robbie,B,Squire,M,robbie.squire@aol.com,Cletus Squire,Celeste Squire,Tessier,10/3/1981,03:14:13 AM,38.94,78,9/9/2010,Q3,H2,2010,9,September,Sep,9,Thursday,Thu,9.99,169683,7%,006-11-7897,262-570-9467,Verona,Dane,Verona,WI,53593,Midwest,rbsquire,m|4Xk.%Mr.Gdz
270850,Mr.,Blake,L,Hetrick,M,blake.hetrick@yahoo.com,Marcelo Hetrick,Myung Hetrick,Bierman,3/18/1994,12:29:41 AM,26.48,60,11/10/2018,Q4,H2,2018,11,November,Nov,10,Saturday,Sat,1.81,83411,6%,583-99-9346,217-851-7697,Harmon,Lee,Harmon,IL,61042,Midwest,blhetrick,GX.>_ABqU
762029,Ms.,Chantel,D,Stallard,F,chantel.stallard@hotmail.com,Jude Stallard,Anisa Stallard,Triana,1/12/1990,10:03:42 AM,30.66,59,9/26/2019,Q3,H2,2019,9,September,Sep,26,Thursday,Thu,0.93,83191,26%,305-37-6262,217-696-2308,Fithian,Vermilion,Fithian,IL,61844,Midwest,cdstallard,QB91^OrStY*B
439045,Mr.,Burt,U,Cohrs,M,burt.cohrs@gmail.com,Murray Cohrs,Arlette Cohrs,Kirst,10/31/1977,03:09:48 AM,42.87,53,6/4/2005,Q2,H1,2005,6,June,Jun,4,Saturday,Sat,15.25,90952,7%,452-99-8324,207-431-8795,Dixmont,Penobscot,Dixmont,ME,4932,Northeast,bucohrs,c:lE9DB~nk*
123003,Mr.,Quintin,X,Mccarville,M,quintin.mccarville@msn.com,Bud Mccarville,Patrina Mccarville,Ritenour,3/1/1999,05:48:34 PM,21.52,69,3/4/2020,Q1,H1,2020,3,March,Mar,4,Wednesday,Wed,0.5,116369,15%,123-98-0327,304-540-5052,Hensley,McDowell,Hensley,WV,24843,South,qxmccarville,pt2W<6m6!J>
203887,Mr.,Ty,Y,Bryson,M,ty.bryson@gmail.com,Wes Bryson,Louetta Bryson,Brower,9/19/1987,01:46:43 PM,32.98,72,1/25/2017,Q1,H1,2017,1,January,Jan,25,Wednesday,Wed,3.6,164015,7%,447-27-4305,209-961-2768,Santa Paula,Ventura,Santa Paula,CA,93061,West,tybryson,jO<dgRV3eH
729628,Hon.,Frida,Q,Ogren,F,frida.ogren@hotmail.com,Modesto Ogren,Chanelle Ogren,Hunsicker,2/2/1983,10:31:39 AM,37.61,56,6/28/2007,Q2,H1,2007,6,June,Jun,28,Thursday,Thu,13.19,119390,19%,142-23-8743,314-806-1339,Levasy,Jackson,Levasy,MO,64066,Midwest,fqogren,vuwcJ16E|XgZn
569451,Mr.,Scott,K,Mooneyhan,M,scott.mooneyhan@gmail.com,Jewel Mooneyhan,Shayna Mooneyhan,Gatling,1/24/1989,12:10:46 AM,31.62,60,10/8/2013,Q4,H2,2013,10,October,Oct,8,Tuesday,Tue,6.9,148332,26%,421-67-1415,308-308-4270,Walthill,Thurston,Walthill,NE,68067,Midwest,skmooneyhan,E|BIRj!bIGzQ
743287,Ms.,Gricelda,Z,Hebb,F,gricelda.hebb@verizon.net,Wendell Hebb,Timothy Hebb,Meehan,4/18/1984,10:22:21 AM,36.4,54,7/29/2011,Q3,H2,2011,7,July,Jul,29,Friday,Fri,9.1,126302,12%,322-11-4904,802-788-8086,West Glover,Orleans,West Glover,VT,5875,Northeast,gzhebb,I!U>$<XaObdYh
864087,Ms.,Nicol,D,Christian,F,nicol.christian@walmart.com,Alden Christian,Linsey Christian,Wansley,5/27/1979,11:57:10 AM,41.3,48,8/25/2005,Q3,H2,2005,8,August,Aug,25,Thursday,Thu,15.03,108006,20%,572-99-6407,210-254-3736,Houston,Harris,Houston,TX,77228,South,ndchristian,ZGOwlJ*xI^
296989,Drs.,Minna,C,Crenshaw,F,minna.crenshaw@cox.net,Wilbert Crenshaw,Albina Crenshaw,Kang,4/30/1985,10:12:42 PM,35.36,57,11/12/2010,Q4,H2,2010,11,November,Nov,12,Friday,Fri,9.81,86046,3%,067-02-5837,479-618-0496,Bonnerdale,Hot Spring,Bonnerdale,AR,71933,South,mccrenshaw,t1I{4[B1^}WrK$
112377,Ms.,Amada,B,Wahl,F,amada.wahl@aol.com,Elwood Wahl,Helene Wahl,Toothman,5/14/1962,05:05:52 AM,58.34,43,2/14/2019,Q1,H1,2019,2,February,Feb,14,Thursday,Thu,1.55,92464,5%,703-18-8819,215-345-2380,Defiance,Bedford,Defiance,PA,16633,Northeast,abwahl,3^/x&ifbTc_>
490595,Mr.,Angelo,B,Hutcheson,M,angelo.hutcheson@gmail.com,Ben Hutcheson,Opal Hutcheson,Rouillard,11/25/1984,10:19:24 AM,35.79,57,12/7/2010,Q4,H2,2010,12,December,Dec,7,Tuesday,Tue,9.74,161598,4%,292-15-3626,480-518-7046,Hackberry,Mohave,Hackberry,AZ,86411,West,abhutcheson,m$QdvP]K%r
493908,Hon.,Lindsey,F,Coder,M,lindsey.coder@aol.com,Jules Coder,Allie Coder,Wilton,4/10/1970,11:21:41 AM,50.43,67,12/30/2013,Q4,H2,2013,12,December,Dec,30,Monday,Mon,6.68,119030,13%,520-61-3627,308-640-7200,Winnebago,Thurston,Winnebago,NE,68071,Midwest,lfcoder,aA\}>>*70
570069,Mr.,Milan,F,Schirmer,M,milan.schirmer@yahoo.com,Kristofer Schirmer,Shu Schirmer,Maxie,11/8/1966,10:19:43 PM,53.85,73,2/5/1989,Q1,H1,1989,2,February,Feb,5,Sunday,Sun,31.59,62231,29%,560-99-9304,480-649-4503,Chandler,Maricopa,Chandler,AZ,85248,West,mfschirmer,3lo\y+g1O
249951,Ms.,Erna,W,Litchfield,F,erna.litchfield@yahoo.com,Morton Litchfield,Reanna Litchfield,Soto,6/9/1979,10:44:42 PM,41.26,41,4/12/2007,Q2,H1,2007,4,April,Apr,12,Thursday,Thu,13.4,176134,17%,414-99-6402,209-865-5976,Petaluma,Sonoma,Petaluma,CA,94975,West,ewlitchfield,C$Prv6ltP
985207,Ms.,Laronda,L,Anderson,F,laronda.anderson@exxonmobil.com,Mariano Anderson,Lupe Anderson,Drakes,9/30/1995,04:54:50 AM,24.94,42,9/10/2019,Q3,H2,2019,9,September,Sep,10,Tuesday,Tue,0.98,73909,17%,379-37-9271,480-361-2909,Supai,Coconino,Supai,AZ,86435,West,llanderson,IEbk}TF69J
954733,Mr.,Ralph,T,Fogle,M,ralph.fogle@shaw.ca,Otis Fogle,Toshiko Fogle,Reichel,3/8/1991,08:51:23 AM,29.51,74,4/11/2015,Q2,H1,2015,4,April,Apr,11,Saturday,Sat,5.4,92135,23%,283-15-0970,239-457-2266,Kissimmee,Osceola,Kissimmee,FL,34742,South,rtfogle,aHXgWU}GqD$^X1
686943,Mrs.,Margarita,Q,Marceau,F,margarita.marceau@btinternet.com,Felipe Marceau,Earlene Marceau,Mellor,6/15/1971,12:24:28 AM,49.25,55,7/14/2006,Q3,H2,2006,7,July,Jul,14,Friday,Fri,14.15,92800,22%,111-98-4190,239-442-0590,Fort Lauderdale,Broward,Fort Lauderdale,FL,33321,South,mqmarceau,O#i[+]|Z+QZY23X
956838,Mr.,Minh,X,Vargas,M,minh.vargas@gmail.com,Millard Vargas,Siu Vargas,Velarde,9/5/1966,08:02:48 AM,54.03,71,4/13/2009,Q2,H1,2009,4,April,Apr,13,Monday,Mon,11.39,114780,8%,252-99-9560,209-518-0411,Los Banos,Merced,Los Banos,CA,93635,West,mxvargas,9Y\}wW[l9-fg
358688,Mrs.,Bethel,W,Derossett,F,bethel.derossett@hotmail.co.uk,Kerry Derossett,Avery Derossett,Osbourn,2/7/1978,05:48:34 PM,42.59,55,9/1/2001,Q3,H2,2001,9,September,Sep,1,Saturday,Sat,19.01,46917,20%,037-74-0400,216-871-9150,Toledo,Lucas,Toledo,OH,43657,Midwest,bwderossett,urWVZ+pWqM[
351868,Ms.,Sidney,H,Chamberlin,F,sidney.chamberlin@sbcglobal.net,Nicolas Chamberlin,Marlen Chamberlin,Burrage,5/27/1966,01:43:08 PM,54.3,40,7/16/1999,Q3,H2,1999,7,July,Jul,16,Friday,Fri,21.15,46275,28%,310-37-5472,316-765-0532,Utica,Ness,Utica,KS,67584,Midwest,shchamberlin,JAVHFHot
387249,Ms.,Beata,Y,Hayman,F,beata.hayman@yahoo.com,Sebastian Hayman,Pansy Hayman,Wanner,3/12/1980,11:29:20 AM,40.5,45,12/26/2013,Q4,H2,2013,12,December,Dec,26,Thursday,Thu,6.69,170887,29%,478-43-3819,217-965-8480,Brookport,Massac,Brookport,IL,62910,Midwest,byhayman,k>T0wwF^
